CPU Core Temp 37 | 26.000     | degrees C  | ok    | 5.000     | 5.000     | 10.000    | 88.000    | 90.000    | 92.000    
CPU Core Temp 38 | 26.000     | degrees C  | ok    | 5.000     | 5.000     | 10.000    | 88.000    | 90.000    | 92.000    
CPU Core Temp 39 | na         |            | na    | na        | na        | na        | na        | na        | na        
CPU Core Temp 40 | na         |            | na    | na        | na        | na        | na        | na        | na        
CPU Core Temp 41 | 25.000     | degrees C  | ok    | 5.000     | 5.000     | 10.000    | 88.000    | 90.000    | 92.000    
CPU Core Temp 42 | 25.000     | degrees C  | ok    | 5.000     | 5.000     | 10.000    | 88.000    | 90.000    | 92.000    
CPU Core Temp 43 | 25.000     | degrees C  | ok    | 5.000     | 5.000     | 10.000    | 88.000    | 90.000    | 92.000    
CPU Core Temp 44 | 25.000     | degrees C  | ok    | 5.000     | 5.000     | 10.000    | 88.000    | 90.000    | 92.000    
CPU Core Temp 45 | 25.000     | degrees C  | ok    | 5.000     | 5.000     | 10.000    | 88.000    | 90.000    | 92.000    
CPU Core Temp 46 | 25.000     | degrees C  | ok    | 5.000     | 5.000     | 10.000    | 88.000    | 90.000    | 92.000    
CPU Core Temp 47 | na         |            | na    | na        | na        | na        | na        | na        | na        
CPU Core Temp 48 | na         |            | na    | na        | na        | na        | na        | na        | na        
Freq Limit OT 1  | 0x1        | discrete   | 0x01ff| na        | na        | na        | na        | na        | na        
Freq Limit Pwr 1 | 0x1        | discrete   | 0x01ff| na        | na        | na        | na        | na        | na        
Mem Thrttl OT 1  | 0x1        | discrete   | 0x01ff| na        | na        | na        | na        | na        | na        
Freq Limit OT 2  | 0x1        | discrete   | 0x01ff| na        | na        | na        | na        | na        | na        
Freq Limit Pwr 2 | 0x1        | discrete   | 0x01ff| na        | na        | na        | na        | na        | na        
Mem Thrttl OT 2  | 0x1        | discrete   | 0x01ff| na        | na        | na        | na        | na        | na        
VBAT             | 3.168      | Volts      | ok    | 2.400     | 2.448     | 2.640     | 3.456     | 3.648     | 3.696     
FAN2             | 4500.000   | RPM        | ok    | 300.000   | 500.000   | 700.000   | 25300.000 | 25400.000 | 25500.000 
FAN3             | 4500.000   | RPM        | ok    | 300.000   | 500.000   | 700.000   | 25300.000 | 25400.000 | 25500.000 
FAN6             | 7400.000   | RPM        | ok    | 300.000   | 500.000   | 700.000   | 25300.000 | 25400.000 | 25500.000 
FAN7             | 7400.000   | RPM        | ok    | 300.000   | 500.000   | 700.000   | 25300.000 | 25400.000 | 25500.000 
Total Power      | 224.000    | Watts      | ok    | 0.000     | 0.000     | 0.000     | 1785.000  | 1785.000  | 1785.000  
CPU1 Power       | 11.000     | Watts      | ok    | 0.000     | 0.000     | 0.000     | 255.000   | 255.000   | 255.000   
CPU2 Power       | 11.000     | Watts      | ok    | 0.000     | 0.000     | 0.000     | 255.000   | 255.000   | 255.000   
PCIE CPU1 Pwr    | 25.000     | Watts      | ok    | 0.000     | 0.000     | 0.000     | 255.000   | 255.000   | 255.000   
PCIE CPU2 Pwr    | 25.000     | Watts      | ok    | 0.000     | 0.000     | 0.000     | 255.000   | 255.000   | 255.000   
OCC Active 1     | 0x2        | discrete   | 0x0200| na        | na        | na        | na        | na        | na        
OCC Active 2     | 0x2        | discrete   | 0x0200| na        | na        | na        | na        | na        | na        
CPU Func 1       | 0x80       | discrete   | 0x8000| na        | na        | na        | na        | na        | na        
